id,name,sponsor,event,venue,place,physical_description,occasion,notes,call_number,date,location,currency,currency_symbol,status,page_count,dish_count,parsed_data,dimensions
12549,,OCEANIC STEAMSHIP COMPANY,LUNCH,COMMERCIAL,SS VENTURA;,CARD;ILLUS;COL;5.5X7;,DAILY,CARD;FLAG;,1901-1552,1901-06-06T00:00:00Z,Oceanic Steamship Company,,,complete,2,35.0,5.5X7,5.5X7
12550,,OCEANIC STEAMSHIP COMPANY,DINNER,COMMERCIAL,SS VENTURA;,CARD;ILLUS;COL;5.5X8.5;,DAILY,CARD;FLAG;,1901-1553,1901-06-06T00:00:00Z,Oceanic Steamship Company,,,complete,2,42.0,5.5X8.5,5.5X8.5
12551,,NORDDEUTSCHER LLOYD BREMEN,SUPPER,COMMERCIAL,EN ROUTE ABOARD KONIGIN LUISE,CARD; ILLUS; COL; 5.5 X 8;,,MENU IN GERMAN AND ENGLISH; ILLUSTRATION OF ROW BOAT. STEAMER AND ROCKY SHORE; SIMPLER MENU THAN 1901-1554; BACK SET UP FOR USE AS POSTCARD;,1901-1557,1901-06-06T00:00:00Z,Norddeutscher Lloyd Bremen,,,complete,2,20.0,5.5 X 8,5.5 X 8
12552,,RHODE ISLAND MEDICAL SOCIETY,DINNER,PROF;,"PROVIDENCE, RI",CARD; 4.25 X 6.75;,ANNIVERSARY,PLACE HANDWRITTEN BY FEB;,1901-1558,1901-06-06T00:00:00Z,Rhode Island Medical Society,,,complete,2,18.0,4.25 X 6.75,4.25 X 6.75
12553,,OCEANIC STEAMSHIP COMPANY,LUNCH,COMMERCIAL,EN ROUTE ABOARD SS VENTURA,CARD;ILLUS; COL; 5.5 X 8.5;,,CARD;FLAG;,1901-1560,1901-06-07T00:00:00Z,Oceanic Steamship Company,,,complete,2,39.0,5.5 X 8.5,5.5 X 8.5
12554,,HOTEL DEL CORONADO,LUNCHEON,COMMERCIAL,"CORONADO BEACH, CA",CARD; 4.5X7.5;,,MUSIC PROGRAMME LISTED ON MENU;,1900-4113,1900-08-21T00:00:00Z,Hotel Del Coronado,,,complete,2,58.0,4.5X7.5,4.5X7.5
12555,,LONG BEACH HOTEL,ANNUAL OUTING OF EDWARD THOMPSON CO.,COMMERCIAL,"LONG BEACH, L.I, NY",BROADSHEET; 4.5X7.0;,,,1900-4117,1900-08-21T00:00:00Z,Long Beach Hotel,,,complete,2,20.0,4.5X7.0,4.5X7.0
12556,,GRAND HOTEL L'D.,DINNER,COMMERCIAL,"YOKOHAMA, JAPAN",FOLDER; ILLUS; COL; 6.5X9.5;,,"FRONT COVER ILLUS, ""BILL OF FARE"" OVER DRAWING OF HOTEL AGAINST BACKGROUND OF CHRYSANTHEMUMS; BACK COVER ILLUS TWO GEISHAS WITH UMBRELLAS BEFORE BACKGROUND OF TEMPLE GARDEN; THE GRAND HOTEL BAND PROGRAMME ON BACK COVER; INSIDE ILLUS, WOMAN AND CHILD ON FO",1900-4126,1900-08-21T00:00:00Z,Grand Hotel L'd.,Dollars,$,complete,4,152.0,6.5X9.5,6.5X9.5
12557,,HOTEL VICTORY,DINNER,COMMERCIAL,"PUT-IN-BAY ISLAND, OH",CARD; 4.75X7.25;,,,1900-4128,1900-08-22T00:00:00Z,Hotel Victory,,,complete,2,36.0,4.75X7.25,4.75X7.25
12558,,BRISTOL HOTEL,DINNER,COMMERCIAL,NAPLES [ITALY],BROADSIDE; ILLUS; 5.5X8.75;,OTHER (DAILY),FRENCH; TABLE D'HOTE MENU; HANDWRITTEN; SKETCHES OF HOTEL & VIEW OF POSILLIPO;,1900-2154,1900-02-26T00:00:00Z,Bristol Hotel,,,complete,2,11.0,5.5X8.75,5.5X8.75
12559,,ASSOCIATION OF EMPLOYING BOOKBINDERS,BANQUET,PROF;,"SAVOY HOTEL, NEW YORK, NY",BOOKLET; ILLUS; 5.5X7;,ANNIVERSARY,FRENCH; PRICED WINE CARD AFFIXED TO INSIDE COVER; SEAL & MOTTO OF ASSOCIATION ON COVER; TOASTS & MUSICAL PROGRAM INCLUDED; LIST OF MEMBER BOOKBINDING FIRMS; SILK CORD ATTACHMENT;,1900-2156,1900-02-26T00:00:00Z,Association Of Employing Bookbinders,Dollars,$,complete,8,30.0,5.5X7,5.5X7
12560,,DELMONICOS,MENU,,"NEW YORK, NY",FOLDER; ILLUS; COL; 4.5X7;,,FRENCH; LIST OF WINES; ENGRAVED PORTRAIT OF A WOMAN ON COVER; (POSSIBLY A PRIVATE PARTY?);,1900-2157,1900-02-26T00:00:00Z,Delmonicos,,,complete,4,34.0,4.5X7,4.5X7
12561,,R.M.S. OCEANIC,LUNCH,COMMERCIAL,EN ROUTE,CARD; 3.5 X 5;,,SMALL FLAG AND LOGO;,1900-2165,1900-02-27T00:00:00Z,R.M.S. Oceanic,,,complete,2,30.0,3.5 X 5,3.5 X 5
12562,,CUNARD LINE,BREAKFAST,COMMERCIAL,EN ROUTE ON BOARD R.M.S. CAMPANIA,CARD; 4.5 X 6.5;,,PRICED WINE LIST ON BACK OF MENU; PRICES IN BRITISH CURRENCY ONLY;,1900-2170,1900-02-28T00:00:00Z,Cunard Line,,,complete,2,110.0,4.5 X 6.5,4.5 X 6.5
12563,,NEW ENGLAND SHORTHAND REPORTER'S ASSOCIATION,SEMI-ANNUAL DINNER,PROF;,"UNITED STATES HOTEL,BOSTON,MA",FOLDER;ILL;COL;5.5X8.5;,ANNIVERSARY,PORTRAIT OF PRESIDENT OF ASSOCIATION ON FRONT COVER;TWO ILLUSTRATIONS OF REPORTERS AT WORK;TOASTS;MUSICAL PROGRAM;NAMES;,1900-3264,1900-05-12T00:00:00Z,New England Shorthand Reporters' Association,,,complete,4,21.0,5.5X8.5,5.5X8.5
12564,,RECTOR'S,DAILY MENU,COMMERCIAL,"BROADWAY AND 44TH ST,NEW YORK,NY",FOLDER;ILL;COL;7X9.5;,DAILY,SPECIAL DISHES ON SEPARATE CARD FASTENED WITH RIBBON IN PUNCHED HOLE;,1900-3265,1900-05-13T00:00:00Z,Rector's,Dollars,$,complete,6,358.0,7X9.5,7X9.5
12567,,STATLER'S,DINNER,COMMERCIAL,"ELLICOTT SQUARE, BUFFALO, NY",CARD; ILLUS; 3.25X6.25;,,ILLUS: WOMAN HOLDING TEACUP AND SAUCER;,1900-3268,1900-05-14T00:00:00Z,Statler's,,,complete,2,17.0,3.25X6.25,3.25X6.25
12568,,JOHN WANAMAKER,LUNCH,COMMERCIAL,"BROADWAY & 10TH STREET, NEW YORK, [NY]",BROADSHEET; ILLUS; COL; 4.75X7.75,,"ILLUS: SHIELD WITH FLEUR DE LYS, FLANKED BY LOBSTERS; SURMOUNTED BY PIGEON;",1900-3270,1900-05-14T00:00:00Z,John Wanamaker,Dollars,$,complete,2,72.0,4.75X7.75,4.75X7.75
12569,,MAXWELL HOUSE,SUPPER,COMMERCIAL,"NASHVILLE, [TN?]",CARD; ILLUS; 4.25X6.25;,,ELABORATE PRINTING OF HOTEL NAME FORMS ILLUSTRATION;,1900-2397,1900-03-12T00:00:00Z,Maxwell House,,,complete,2,38.0,4.25X6.25,4.25X6.25
12570,,MAXWELL HOUSE,DINNER,COMMERCIAL,"NASHVILLE, [TN?]",CARD; ILLUS; 5.5X7.5;,,ILLUSTRATION OF HOTEL AT TOP OF MENU;,1900-2398,1900-03-12T00:00:00Z,Maxwell House,,,complete,2,31.0,5.5X7.5,5.5X7.5
12571,,"CLYDE STEAMSHIP CO., THE",DINNER,COMMERCIAL,STEAMSHIP IROQUOIS,BROADSHEET; ILLUS; COL; 10X7;,,"INCLUDES PRICED WINE, LIQUOR, ETC. LIST; STEAMSHIP INSIGNIA ON COVER; ON BACK COVER IS A MAP COMPRISING ALL LINES INVOLVED WITH CLYDE;",1900-2400,1900-03-12T00:00:00Z,"Clyde Steamship Co., The",Dollars,$,complete,3,72.0,10X7,10X7
12573,,MAXWELL HOUSE,BREAKFAST,COMMERCIAL,"NASHVILLE, [TN?]",CARD; ILLUS; 4.25X6.25;,,ELABORATE PRINTING OF HOTEL NAME FORMS ILLUSTRATION;,1900-2404,1900-03-13T00:00:00Z,Maxwell House,,,complete,4,0.0,4.25X6.25,4.25X6.25
12574,,OCCIDENTAL & ORIENTAL STEAMSHIP CO.,BREAKFAST,COMMERCIAL,SS COPTIC,BROADSIDE; ILLUS; 5.5X8.5;,,HANDWRITTEN IN LAVENDAR INK; COMPANY FLAG AT TOP OF MENU;,1900-2410,1900-03-13T00:00:00Z,Occidental & Oriental Steamship Co.,,,complete,2,24.0,5.5X8.5,5.5X8.5
12575,,GRENOBLE HOTEL,SOUPER,COMMERCIAL,NY,BROADSHEET; ILLUS.BORDER; COL; 7 X 11;,DAILY,COMPLETE WINE LIST ON BACK;,1900-2619,1900-03-30T00:00:00Z,Grenoble Hotel,Dollars,$,complete,2,255.0,7 X 11,7 X 11
12576,,US ARMY - SUBSISTENCE DEPT.,LUNCHEON,MIL;,TRANSPORT,BROADSIDE; 4.5 X 7;,,MENU HANDWRITTEN; SUMMER;,1900-2623,1900-03-31T00:00:00Z,U.S. Army Subsistence Dept.,,,complete,2,13.0,4.5 X 7,4.5 X 7
12577,,HADDON HALL,SUPPER,COMMERCIAL,"PHILADELPHIA, PA",BROADSIDE; ILLUS; COL; 5 X 7;,DAILY,,1900-2625,1900-03-31T00:00:00Z,Haddon Hall,,,complete,2,60.0,5 X 7,5 X 7
12578,,HADDON HALL,DINNER,COMMERCIAL,"PHILADELPHIA, PA",BROADSIDE; ILLUS; COL; 5 X 8;,DAILY,,1900-2626,1900-03-31T00:00:00Z,Haddon Hall,,,complete,2,53.0,5 X 8,5 X 8
12579,,TRUSTEES OF THE MISSOURI BOTANICAL GARDEN,11TH ANNUAL BANQUET,PROF;,"SOUTHERN HOTEL, ST. LOUIS, MO",BROADSIDE; ILLUS; 5.5 X 8.75;,ANNUAL,WINES LISTED FOR EACH COURSE;,1900-2627,1900-03-31T00:00:00Z,Trustees Of The Missouri Botanical Garden,,,complete,2,22.0,5.5 X 8.75,5.5 X 8.75
12583,,,,,,,,,,1900-04-15T00:00:00Z,Hotel Eastman,,,complete,2,67.0,,
12584,,,,,,,,,,1900-04-15T00:00:00Z,Republican House,,,complete,2,34.0,,
12585,,,,,,,,,,1900-04-16T00:00:00Z,Norddeutscher Lloyd Bremen,,,under review,2,86.0,,
12586,,,,,,,,,,1900-04-16T00:00:00Z,Norddeutscher Lloyd Bremen,,,complete,2,66.0,,
12587,,,,,,,,,,1900-04-16T00:00:00Z,Norddeutscher Lloyd Bremen,,,complete,4,34.0,,
12588,,,,,,,,,,1900-04-16T00:00:00Z,Canadian Pacific Railway Company,,,complete,2,36.0,,
12589,,,,,,,,,,1900-04-16T00:00:00Z,Hotel Netherland,Dollars,$,complete,2,145.0,,
12590,,,,,,,,,,1900-04-17T00:00:00Z,Norddeutscher Lloyd Bremen,,,complete,2,82.0,,
12591,,,,,,,,,,1900-04-17T00:00:00Z,Norddeutscher Lloyd Bremen,,,complete,2,60.0,,
12592,,,,,,,,,,1900-04-17T00:00:00Z,Norddeutscher Lloyd Bremen,,,complete,4,35.0,,
12593,,,,,,,,,,1900-04-17T00:00:00Z,Hotel Marlborough,,,complete,2,19.0,,
12595,,,,,,,,,,1900-04-18T00:00:00Z,Hotel Manhattan,Dollars,$,complete,2,177.0,,
12596,,,,,,,,,,1900-04-18T00:00:00Z,Pacific Mail Steamship Company,,,complete,4,20.0,,
12597,,,,,,,,,,1900-04-18T00:00:00Z,Occidental & Oriental,,,complete,2,25.0,,
12598,,,,,,,,,,1900-04-18T00:00:00Z,Occidental & Oriental,,,complete,2,24.0,,
12599,,,,,,,,,,1900-04-18T00:00:00Z,Occidental & Oriental Steamship Company,,,complete,4,45.0,,
12600,,,,,,,,,,1900-04-18T00:00:00Z,Canadian Pacific Railway Company,,,complete,2,41.0,,
12601,,,,,,,,,,1900-04-18T00:00:00Z,Canadian Pacific Railway Company,,,complete,2,42.0,,
12602,,,,,,,,,,1900-04-18T00:00:00Z,Noviomagus,,,complete,2,16.0,,
12603,,,,,,,,,,1900-04-18T00:00:00Z,Hotel Manhattan,Dollars,$,complete,2,121.0,,
12604,,,,,,,,,,1900-04-18T00:00:00Z,Boston Boot & Shoe Club,,,complete,6,24.0,,
12605,,,,,,,,,,1900-04-19T00:00:00Z,Canadian Pacific Railway,,,complete,2,38.0,,
12606,,,,,,,,,,1900-04-19T00:00:00Z,Hotel Savoy,,,complete,2,15.0,,
12607,,,,,,,,,,1900-04-19T00:00:00Z,Pacific Mail Steamship Co.,,,complete,2,14.0,,
12609,,,,,,,,,,1900-04-20T00:00:00Z,Colby Alumni Association Of New York,,,complete,4,21.0,,
12610,,,,,,,,,,1900-04-20T00:00:00Z,Hotel Imperial,,,complete,2,15.0,,
12611,,,,,,,,,,1900-04-20T00:00:00Z,Whitefriars Club,,,complete,2,15.0,,
12613,,,,,,,,,,1900-04-20T00:00:00Z,Canadian Pacific Railway,,,complete,2,38.0,,
12614,,,,,,,,,,1900-04-21T00:00:00Z,Knights Of Revelry,,,complete,8,22.0,,
12616,,,,,,,,,,1900-04-21T00:00:00Z,St. Mark's School Alumni Association,,,complete,4,19.0,,
12617,,,,,,,,,,1900-04-21T00:00:00Z,Canadian Society Of New York,,,complete,2,39.0,,
12618,,,,,,,,,,1900-04-22T00:00:00Z,Cafe Boulevard,,,complete,2,17.0,,
12619,,,,,,,,,,1900-04-22T00:00:00Z,Pacific Mail Steamship Co.,,,complete,2,14.0,,
12620,,,,,,,,,,1900-04-22T00:00:00Z,Morning Newspaper Bowling League,,,complete,2,23.0,,
12621,,,,,,,,,,1900-04-23T00:00:00Z,Cunard Line,Dollars,$,complete,2,102.0,,
12622,,,,,,,,,,1900-04-23T00:00:00Z,Cunard Line,Dollars,$,complete,2,102.0,,
12624,,,,,,,,,,1900-02-18T00:00:00Z,U.S.M.S. New York,Dollars,$,complete,2,103.0,,
12625,,,,,,,,,,1900-02-18T00:00:00Z,Bartholdi Hotel,Dollars,$,complete,2,200.0,,
12626,,,,,,,,,,1900-02-18T00:00:00Z,Bartholdi Hotel,Dollars,$,complete,4,342.0,,
12627,,,,,,,,,,1900-02-19T00:00:00Z,Haan's,Dollars,$,complete,2,376.0,,
12628,,,,,,,,,,1900-02-19T00:00:00Z,Hotel Marie Antoinette,Dollars,$,complete,2,81.0,,
12629,,,,,,,,,,1900-02-20T00:00:00Z,Red Star Line S.S.Southwark,Belgian Francs,BEF,complete,2,62.0,,
12630,,,,,,,,,,1900-02-20T00:00:00Z,Hotel Marie Antoinette,Dollars,$,complete,2,123.0,,
12632,,,,,,,,,,1890-01-06T00:00:00Z,"Spiers & Pond,ld",,,complete,4,32.0,,
12633,,,,,,,,,,1890-01-08T00:00:00Z,Business Men's Democratic Association,,,complete,4,28.0,,
12635,,,,,,,,,,1888-10-15T00:00:00Z,The Albany,,,complete,2,30.0,,
12636,,,,,,,,,,1865-06-09T00:00:00Z,Revere House,Dollars,$,complete,4,403.0,,
12637,,,,,,,,,,1892-05-19T00:00:00Z,National Verbandes Deutsch Amerikanischer Journalisten Und Schriftsteller (unusual),,,complete,2,19.0,,
12638,,,,,,,,,,1901-06-03T00:00:00Z,Columbia Restaurant,Dollars,$,complete,4,495.0,,
12639,,,,,,,,,,1901-06-04T00:00:00Z,Mrs Cluff,,,complete,4,15.0,,
12640,,,,,,,,,,1901-06-05T00:00:00Z,Baily Catering Co.The,,,complete,7,18.0,,
12641,,,,,,,,,,1901-06-05T00:00:00Z,St Johns Old Bachelors' Association,,,complete,2,14.0,,
12642,,,,,,,,,,1901-01-01T00:00:00Z,Northern Steamship Co.,Dollars,$,complete,4,11.0,,
12643,,,,,,,,,,1901-01-01T00:00:00Z,Citizens'steamboat Company,Dollars,$,complete,8,254.0,,
12644,,,,,,,,,,1901-06-05T00:00:00Z,National Association Of Manufacturers Of The United States Of America,,,complete,4,21.0,,
12645,,,,,,,,,,1900-02-25T00:00:00Z,Hamburg Amerika Linie,,,complete,4,28.0,,
12646,,,,,,,,,,1900-02-26T00:00:00Z,Union Hotel & Restaurant,Dollars,$,complete,2,72.0,,
12647,,,,,,,,,,1900-02-26T00:00:00Z,Cunard Line,Shillings,S,complete,2,92.0,,
12648,,,,,,,,,,1900-02-26T00:00:00Z,Cunard Line,Shillings,S,complete,2,96.0,,
12649,,,,,,,,,,1900-02-26T00:00:00Z,New York Medical Club,,,complete,4,17.0,,
12650,,,,,,,,,,1900-02-26T00:00:00Z,Red Star Line,,,complete,2,16.0,,
12651,,,,,,,,,,1900-02-26T00:00:00Z,Red Star Line,,,complete,2,17.0,,
12652,,,,,,,,,,1900-02-26T00:00:00Z,Red Star Line,,,complete,2,16.0,,
12653,,,,,,,,,,1900-02-26T00:00:00Z,Red Star Line,Francs,FF,complete,2,51.0,,
12654,,,,,,,,,,1900-03-11T00:00:00Z,Pabst Blue Ribbon,Dollars,$,complete,2,50.0,,
12655,,,,,,,,,,1900-03-11T00:00:00Z,Maxwell House,,,complete,2,31.0,,
12656,,,,,,,,,,1900-03-11T00:00:00Z,Maxwell House,,,complete,2,23.0,,
12657,,,,,,,,,,1900-03-11T00:00:00Z,Cunard Line,Shillings,S,complete,2,96.0,,
12658,,,,,,,,,,1900-03-27T00:00:00Z,Haddon Hall,,,complete,2,51.0,,
12662,,,,,,,,,,1900-03-30T00:00:00Z,Ancient & Accepted Scottish Rite (masonic Lodge),,,complete,4,18.0,,
12663,,,,,,,,,,1900-03-30T00:00:00Z,Upsilon Chapter D.K.E. Fraternity,,,complete,4,16.0,,
12665,,,,,,,,,,1900-03-30T00:00:00Z,German Restaurant & Buffet,Dollars,$,complete,4,112.0,,
12666,,,,,,,,,,1901-06-06T00:00:00Z,Mr. John Morgan,,,complete,4,23.0,,
12668,,,,,,,,,,1901-06-06T00:00:00Z,Entertainment Committee,,,complete,4,20.0,,
12669,,,,,,,,,,1901-06-06T00:00:00Z,Oceanic Steamship Company,,,complete,2,37.0,,
12670,,,,,,,,,,1901-06-06T00:00:00Z,Oceanic Steamship Company,,,complete,2,50.0,,
12671,,,,,,,,,,1901-06-06T00:00:00Z,Norddeutscher Lloyd Bremen,,,complete,2,22.0,,
12672,,,,,,,,,,1901-06-06T00:00:00Z,Rhode Island Medical Society,,,complete,2,18.0,,
12673,,,,,,,,,,1901-06-07T00:00:00Z,Oceanic Steamship Company,,,complete,2,40.0,,
12674,,,,,,,,,,1900-08-21T00:00:00Z,Hotel Del Coronado,,,complete,2,60.0,,
12675,,,,,,,,,,1900-08-21T00:00:00Z,Long Beach Hotel,,,complete,2,20.0,,
12678,,,,,,,,,,1900-02-26T00:00:00Z,Bristol Hotel,,,complete,2,11.0,,
12688,,,,,,,,,,1900-05-14T00:00:00Z,John Wanamaker,Dollars,$,complete,2,73.0,,
12689,,,,,,,,,,1900-03-12T00:00:00Z,Maxwell House,,,complete,2,41.0,,
12694,,,,,,,,,,1900-03-13T00:00:00Z,Occidental & Oriental Steamship Co.,,,complete,2,25.0,,
12695,,,,,,,,,,1900-03-30T00:00:00Z,Grenoble Hotel,Dollars,$,complete,2,250.0,,
12696,,,,,,,,,,1900-03-31T00:00:00Z,U.S. Army Subsistence Dept.,,,complete,2,12.0,,
12697,,,,,,,,,,1900-03-31T00:00:00Z,Haddon Hall,,,complete,2,60.0,,
12698,,,,,,,,,,1900-03-31T00:00:00Z,Haddon Hall,,,complete,2,55.0,,
12700,,GERMAN RESTAURANT & BUFFET,DAILY MENU - 11;30 T0 3;00,COMMERCIAL,"137 E. MADISON ST. CHICAGO, ILL.",FOLDER; ILLUS; COL; 4.5 X 10.5;,DAILY,LIST OF VAUDEVIILE ENTERTAINERS FOR THE WEEK;,1900-2630,1900-03-31T00:00:00Z,German Restaurant & Buffet,Dollars,$,complete,4,109.0,4.5 X 10.5,4.5 X 10.5
12702,,PIONEER DINING CAR LINE,DAILY MENU,COMMERCIAL,EN ROUTE,BROADSIDE; COL; 5 X 7.25;,DAILY,SEPARATE PAGE OF HANDWRITTEN SPECIALS PASTED ON REGULAR MENU;,1900-2632,1900-03-31T00:00:00Z,Pioneer Dining Car Line,Dollars,$,complete,2,46.0,5 X 7.25,5 X 7.25
12703,,HOTEL VENDOME,BREAKFAST,COMMERCIAL,"BOSTON,MASS",BROADSIDE; HOTEL EMBLEM; 5 X 7;,DAILY,"HOURS FOR BREAKFAST,LUNCH,DINNER & TEA LISTED;",1900-2636,1900-04-01T00:00:00Z,Hotel Vendome,,,complete,2,78.0,5 X 7,5 X 7
12704,,HOTEL NETHERLAND,A LA CARTE MENU,COMMERCIAL,NY,FOLDER; ILLUS; COL; 6.5 X 11;,DAILY,,1900-2637,1900-04-01T00:00:00Z,Hotel Netherland,Dollars,$,complete,4,389.0,6.5 X 11,6.5 X 11
12705,,MILLS HOTEL,DINNER,COMMERCIAL,BLEECKER ST. NY,BROADSHEET; 3.75 X 6;,DAILY,DINNER SERVED FROM 11;30 TO 9 PM; BREAKFAST MENU ON BACK;,1900-2638,1900-04-01T00:00:00Z,Mills Hotel,,,complete,2,67.0,3.75 X 6,3.75 X 6
12706,,CROMWELL STEAMSHIP COMPANY,BREAKFAST,COMMERCIAL,EN ROUTE,BROADSIDE; COL;4.5 X 7.5;,DAILY,ALL HANDWRITTEN;,1900-2641,1900-04-01T00:00:00Z,Cromwell Steamship Company,,,complete,2,19.0,4.5 X 7.5,4.5 X 7.5
12708,,CROMWELL STEAMSHIP COMPANY,BREAKFAST,COMMERCIAL,,CARD;ILL;COL;4.5X7.5;,DAILY,"FLAG;HANDWRITTEN,MECHANICALLY REPRODUCED;",1900-2649,1900-04-02T00:00:00Z,Cromwell Steamship Company,,,complete,2,18.0,4.5X7.5,4.5X7.5
12709,,WILLARD'S HOTEL,BREAKFAST,COMMERCIAL,"WASHINGTON, DC",CARD;4.5X7;,DAILY,SEVERAL HANDWRITTEN ENTRIES ON PRINTED MENU; DATE BY FB;,1900-2656,1900-04-03T00:00:00Z,Willard's Hotel,,,complete,2,67.0,4.5X7,4.5X7
12710,,NIPPON YUSEN KAISHA,BREAKFAST,COMMERCIAL,ABOARD SS ?,BROADSIDE; 5.5X7.75;,,HAND WRITTEN;,1900-4132,1900-08-22T00:00:00Z,Nippon Yusen Kaisha,,,complete,2,14.0,5.5X7.75,5.5X7.75
12711,,NIPPON YUSEN KAISHA,TIFFIN,COMMERCIAL,ABOARD SS ?,BROADSIDE; 5.5X7.75;,,HAND WRITTEN;,1900-4134,1900-08-22T00:00:00Z,Nippon Yusen Kaisha,,,complete,2,18.0,5.5X7.75,5.5X7.75
12712,,CINCINNATI ENQUIRER HOUSEHOLD CLUB,ANNUAL OUTING,SOC;,"HOTEL VICTORY, PUT-IN-BAY-ISLAND, LAKE ERIE, OH.",FOLDER; ILLUS; COL; 5.5X6.75;,,"ILLUS, WOMAN IN (18TH CENTURY?) COSTUME WITH BASKET OF FLOWERS;",1900-4145,1900-08-23T00:00:00Z,Cincinnati Enquirer Household Club,,,complete,4,38.0,5.5X6.75,5.5X6.75
12713,,NIPPON YUSEN KAISHA,DINNER,COMMERCIAL,ABOARD SS KOBE;,BROADSHEET; ILLUS; COL; 10.5X9.5;,,"HAND WRITTEN; ILLUS, YOUTHS IN JAPANESE COSTUME, CARRYING FLOAT;  REVERSE SIDE, MAP OF INDIAN OCEAN SHOWING THE STEAMER TRACKS OF THE NIPPON YUSEN KAISHA;",1900-4148,1900-08-24T00:00:00Z,Nippon Yusen Kaisha,,,complete,2,15.0,10.5X9.5,10.5X9.5
12714,,HOTEL VICTORY,EVENING DINNER,COMMERCIAL,"PUT-IN-BAY-ISLAND, LAKE ERIE, OH;",BROADSIDE; 4.5X6.75;,,,1900-4151,1900-08-24T00:00:00Z,Hotel Victory,,,complete,2,34.0,4.5X6.75,4.5X6.75
12715,,TOYO KISEN KAISHA,DINNER IN HONOR OF H.I.M.MUTSU-HITO 47TH BIRTHDAY,COMMERCIAL,EN ROUTE ABOARD HONG KONG MARU,BROADSHEET; ILLUS; 6.5 X 7.75;,COMPLIMENTARY/TESTIMONIAL,"B&W PHOTOGRAPHS OF VARIOUS POINTS OF INTEREST IN AMERICA, HAWAII, CHINA;JAPAN;",1900-4856,1900-11-02T00:00:00Z,Toyo Kisen Kaisha,,,complete,2,44.0,6.5 X 7.75,6.5 X 7.75
12716,,ROUND TABLE CLUB,LUNCH,SOC;,[THE KNICKERBOCKER CLUB?],CARD;ILLUS;COL;5.5X8;,,WINES;PLACE HANDWRITTEN ON BACK;NAMES ON BACK HANDWRITTEN;DR.J.S.BILLINGS NAME HANDWRITTEN IN DIFFERENT HAND;,1900-4859,1900-11-02T00:00:00Z,Round Table Club,,,complete,2,26.0,5.5X8,5.5X8
12717,,ST. LOUIS HORSE SHOW ASSOCIATION,BANQUET,SOC;,SAINT LOUIS CLUB,FOLDER; ILLUS; 3X5;,,FRENCH & ENGLISH; WINES INCLUDED; MUSE ILLUSTRATION ON COVER;,1900-4860,1900-11-03T00:00:00Z,St. Louis Horse Show Association,,,complete,4,18.0,3X5,3X5
12718,,HOTEL GRUNEWALD,DINNER,COMMERCIAL,"NEW ORLEANS, LA",BROADSHEET; ILLUS; 5.25X8.25;,,TABLE D'HOTE MENU INCLUDES PINT FRENCH CLARET; ILLUSTRATION OF COAT OF ARMS AND TABLE LADEN WITH FRUIT AND WINES; MUSICAL PROGRAM INCLUDED;,1900-4861,1900-11-03T00:00:00Z,Hotel Grunewald,,,complete,2,21.0,5.25X8.25,5.25X8.25
12719,,NEW STATE HOUSE,EVENING MEAL,,"WACO, TX",BROADSIDE; ILLUS; 4.5X7.25;,,ILLUSTRATION OF COTTON YARD;,1900-4862,1900-11-05T00:00:00Z,New State House,,,complete,2,35.0,4.5X7.25,4.5X7.25
12722,,JOHN WANAMAKER,BREAKFAST,COMMERCIAL,"NEW YORK, NY",BROADSIDE; 4.75X8.25;,,DATE HAND-WRITTEN [FEB?];,1900-3271,1900-05-14T00:00:00Z,John Wanamaker,,,complete,2,40.0,4.75X8.25,4.75X8.25
12723,,PACIFIC MAIL STEAMSHIP CO.,DINNER,COMMERCIAL,SS CITY OF PARA,FOLDER; 5.5X8.5;,,,1900-3276,1900-05-14T00:00:00Z,Pacific Mail Steamship Co.,,,complete,4,16.0,5.5X8.5,5.5X8.5
12724,,JOHN WANAMAKER,DAILY MENU,COMMERCIAL,"BROADWAY & 10TH STREET, NEW YORK, [NY]",FOLDER; ILLUS; COL; 6.25X10.5;,,"ILLUS: SHIELD WITH FLEUR DE LYS, FLANKED BY LOBSTERS; SURMOUNTED BY PIGEON;",1900-3277,1900-05-14T00:00:00Z,John Wanamaker,Dollars,$,complete,4,242.0,6.25X10.5,6.25X10.5
12725,,PACIFIC MAIL STEAMSHIP COMPANY,BREAKFAST,COMMERCIAL,SS RIO DE JANEIRO,BROADSIDE; 5.75X8.75;,,,1900-3284,1900-05-15T00:00:00Z,Pacific Mail Steamship Company,,,complete,2,19.0,5.75X8.75,5.75X8.75
12726,,PACIFIC MAIL STEAMSHIP COMPANY,TIFFIN,COMMERCIAL,SS RIO DE JANEIRO,BROADSIDE; 5.75X8.75;,,,1900-3285,1900-05-15T00:00:00Z,Pacific Mail Steamship Company,,,complete,2,21.0,5.75X8.75,5.75X8.75
12728,,NEW FALMOUTH HOTEL,BREAKFAST,COMMERCIAL,"PORTLAND, ME",BROADSIDE; 5.0X8.0;,,"DATE HAND WRITTEN (FEB?); SIGNED BY F. H. NUNNS, PROP.;",1900-3296,1900-05-16T00:00:00Z,New Falmouth Hotel,,,complete,2,54.0,5.0X8.0,5.0X8.0
